nombre_compania;contacto_compania;correo_compania;telefono_compania;tipo;nombre;correo;telefono;fecha_registro;direccion;ciudad;codigo_postal;region;producto;categoria_producto;cantidad;precio_unitario
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Lettuce / Greens;Fresh Vegetables;5;486.72
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Peanut butter;Various Groceries;4;27.14
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Milk;Dairy;2;205.19
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Shea Jensen;sit.amet@cursus.edu;004-488-9884;4/06/2012;Ap #422-1122 Nulla Rd.;San Diego;95970;California;Tofu;Refrigerated Items;4;178.35
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Shea Jensen;sit.amet@cursus.edu;004-488-9884;4/06/2012;Ap #422-1122 Nulla Rd.;San Diego;95970;California;Burger night;Themed Meals;1;38.28
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Gravy;Condiments / Sauces;5;454.78
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Catfish;Seafood;3;32.73
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Zucchini;Fresh Vegetables;1;345.64
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Parsley;Spices & Herbs;3;125.31
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Asparagus;Fresh Vegetables;5;346.43
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Instant potatoes;Various Groceries;5;52.58
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Hot sauce;Condiments / Sauces;5;433.27
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Mac & cheese;Various Groceries;5;56.58
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Christopher Rocha;tortor@odio.co.uk;060-369-3905;11/01/2014;Ap #545-3441 Nunc. Rd.;Olympia;50635;WA;Asparagus;Fresh Vegetables;4;346.43
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Jeremy Yang;nisl@Vivamusrhoncus.net;039-295-2778;23/04/2018;6968 Ipsum Av.;Saint Paul;43755;MN;Peanut butter;Various Groceries;1;27.14
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Jeremy Yang;nisl@Vivamusrhoncus.net;039-295-2778;23/04/2018;6968 Ipsum Av.;Saint Paul;43755;MN;Baby wash;Baby Stuff;2;66
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Jeremy Yang;nisl@Vivamusrhoncus.net;039-295-2778;23/04/2018;6968 Ipsum Av.;Saint Paul;43755;MN;Worcestershire sauce;Condiments / Sauces;1;58.44
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Jeremy Yang;nisl@Vivamusrhoncus.net;039-295-2778;23/04/2018;6968 Ipsum Av.;Saint Paul;43755;MN;Soy sauce;Condiments / Sauces;2;409.4
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Dominic Morin;primis@Praesenteunulla.co.uk;009-970-5301;21/02/2011;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Chocolate chips / Cocoa;Baking;4;206.69
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Dominic Morin;primis@Praesenteunulla.co.uk;009-970-5301;21/02/2011;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Turkey;Meat;3;138.53
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Dominic Morin;primis@Praesenteunulla.co.uk;009-970-5301;21/02/2011;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;BBQ sauce;Condiments / Sauces;1;264.94
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Dominic Morin;primis@Praesenteunulla.co.uk;009-970-5301;21/02/2011;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Sandwich slices;Cheese;3;478
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Olive oil;Various Groceries;2;79.5
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Breakfasts;Frozen;4;90.44
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Popcorn;Snacks;2;143.92
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Cereal;Various Groceries;5;301.76
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Oregano;Spices & Herbs;2;389.82
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Bleu cheese;Cheese;5;315.54
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Feta;Cheese;2;477.93
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Bleu cheese;Cheese;4;315.54
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Lemons / Limes;Fresh Fruits;1;219.45
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Crackers;Snacks;5;40.29
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Vodka;Beverages;1;199.13
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Cherries;Fresh Fruits;1;93.62
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;P;Stephen Christian;nibh.Aliquam@in.co.uk;061-266-4804;3/06/2018;P.O. Box 568, 5077 Morbi Avenue;Jackson;90560;Mississippi;Chocolate chips / Cocoa;Baking;2;206.69
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Benjamin Doyle;lectus.quis.massa@vitae.co.uk;073-525-3930;25/06/2012;P.O. Box 671, 9827 Erat. St.;Colorado Springs;57994;CO;Potato / Corn chips;Snacks;1;431.54
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Benjamin Doyle;lectus.quis.massa@vitae.co.uk;073-525-3930;25/06/2012;P.O. Box 671, 9827 Erat. St.;Colorado Springs;57994;CO;Oranges;Fresh Fruits;1;387.88
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Brett Adams;ullamcorper.viverra@natoquepenatibuset.ca;060-822-0833;16/02/2013;P.O. Box 929, 7799 Magna. Rd.;Mesa;86190;Arizona;Gin;Beverages;2;351.44
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Goat cheese;Cheese;2;432.02
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Cheddar;Cheese;1;207.91
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Tortillas;Refrigerated Items;1;434.8
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Robert Adkins;Curabitur.dictum@nec.net;092-717-9747;30/10/2013;9785 Vehicula. Road;Frankfort;27751;Kentucky;Ground beef / Turkey;Meat;5;269.86
A Auctor Non LLP;Raphael Bennett;laoreet@Curabitur.org;078-534-9986;C;Micah England;orci.Ut@doloregestasrhoncus.net;020-073-6493;5/05/2011;P.O. Box 831, 9684 Dictum Av.;Canyon;86692;AZ;Vanilla extract;Spices & Herbs;5;117.38
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Soup / Chili;Canned Foods;1;254.11
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Pickles;Various Groceries;1;129.31
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Beef;Meat;3;289.36
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Broccoli;Fresh Vegetables;1;13.65
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Cat food / Treats;Pets;2;102.19
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Stuart Brewer;ut.pharetra.sed@molestie.co.uk;019-896-4001;30/06/2017;769-1995 Scelerisque Street;Iowa City;34416;IA;Fruit juice;Refrigerated Items;5;481.96
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Ingrid Fry;porttitor@placerataugueSed.net;039-523-0192;23/09/2013;P.O. Box 831, 9684 Dictum Av.;Canyon;86692;AZ;Oranges;Fresh Fruits;3;387.88
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Ingrid Fry;porttitor@placerataugueSed.net;039-523-0192;23/09/2013;P.O. Box 831, 9684 Dictum Av.;Canyon;86692;AZ;Vanilla extract;Spices & Herbs;3;117.38
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Ingrid Fry;porttitor@placerataugueSed.net;039-523-0192;23/09/2013;P.O. Box 831, 9684 Dictum Av.;Canyon;86692;AZ;Tinned meats;Canned Foods;3;355.34
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Ingrid Fry;porttitor@placerataugueSed.net;039-523-0192;23/09/2013;P.O. Box 831, 9684 Dictum Av.;Canyon;86692;AZ;Club soda / Tonic;Beverages;3;134.04
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Bacon / Sausage;Meat;2;167.45
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Dog food / Treats;Pets;5;163.93
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Tuna / Chicken;Canned Foods;4;191.68
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Cake / Brownie mix;Baking;5;124.83
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Parsley;Spices & Herbs;4;125.31
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;English muffins;Refrigerated Items;2;382.44
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Unity Cooley;Integer@famesacturpis.net;005-349-6264;14/11/2014;Ap #474-4704 Ligula Avenue;Frankfort;39323;Kentucky;Pizza;Frozen;2;463.17
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Milk;Dairy;2;205.19
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Chili night;Themed Meals;1;161.31
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Pepperjack;Cheese;5;191.85
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Asparagus;Fresh Vegetables;1;346.43
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Honey;Condiments / Sauces;5;38.29
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Carrots;Fresh Vegetables;5;344.38
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Wipes;Baby Stuff;1;244.59
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Mint;Spices & Herbs;5;444.76
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Gravy;Condiments / Sauces;5;454.78
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Mixers;Beverages;3;410.05
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Bagels / Croissants;Baked Goods;3;275.95
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Taco night;Themed Meals;3;129.28
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Xavier Farley;lacinia@sitametnulla.org;095-138-4996;23/12/2015;171-6697 Lacus, Av.;Paradise;72463;Nevada;Gin;Beverages;2;351.44
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Dennis Lott;et.netus.et@justo.net;075-393-2007;15/10/2017;7895 Non Avenue;Fort Wayne;67631;IN;Beer;Beverages;1;184.12
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Dennis Lott;et.netus.et@justo.net;075-393-2007;15/10/2017;7895 Non Avenue;Fort Wayne;67631;IN;Rice;Various Groceries;4;44.56
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Catherine Hawkins;commodo@odioPhasellus.net;038-742-8205;28/12/2012;P.O. Box 671, 9827 Erat. St.;Colorado Springs;57994;CO;Corn;Fresh Vegetables;2;491.24
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Catherine Hawkins;commodo@odioPhasellus.net;038-742-8205;28/12/2012;P.O. Box 671, 9827 Erat. St.;Colorado Springs;57994;CO;Oysters;Seafood;4;202.99
Libero Institute;Carter Whitney;ante.Nunc.mauris@cursusdiam.edu;006-698-7234;P;Catherine Hawkins;commodo@odioPhasellus.net;038-742-8205;28/12/2012;P.O. Box 671, 9827 Erat. St.;Colorado Springs;57994;CO;Ham / Pork;Meat;4;126.91
